Common/Marked Name,Scientific Name,ID Name (Use this when inputting data),Genus,Family,Order,Class,Phylum,Kingdom,General Grouping,Unknown Photo Folder Name
Beauty Bush Algae,Callithamnion pikeanum,Beauty Bush Algae,Callithamnion,Callithamniaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Sea Laurel,Osmundea spectabilis,Osmundea,Osmundea,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Crustose Coralline Algae,,Crustose Coralline Algae,,,Corallinales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Filamentous Coralline Algae,,Filamentous Coralline Algae,,,Corallinales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Scouring Pad Algae,Endocladia muricata,Scouring Pad Algae,Endocladia,Endocladiaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Lawn Algae,Chondracanthus canaliculatus,Chondracanthus,Chondracanthus,Gigartinaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Iridescent Algae,Mazzaella spp.,Iridescent Algae,Mazzaella,Gigartinaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Encrusting Red Algae,Mastocarpus spp.,Mastocarpus,Mastocarpus,Phyllophoraceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Succulent Seaweed,Sarcodiotheca gaudichaudii,Sarcodiotheca,Sarcodiotheca,Solieriaceae,Gigartinales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Prionitis lanceolata,Prionitis lanceolata,Prionitis,Prionitis,Halymeniaceae,Halymeniales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Sea Belly,Neogastroclonium subarticulatum,Sea Belly,Neogastroclonium,Champiaceae,Rhodymeniales,Florideophyceae,Rhodophyta,Plantae,Red Algae,
Unknown Red Algae,,Red Algae,,,,,Rhodophyta,Plantae,Red Algae,
Tar Spot,,Tar Spot,,,,,,,Red Algae,
